"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Existing safety-net tests unaffected — runner.go adds interface types only, no Deploy struct modifications","","","passed","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s01 - Runner/Instance/Spec seam + FakeRunner; existing fleet tests stay green",""
"","","GET / renders landing page","","","passed","","","e02 - Proxy + Landing Page","e02s01 - HTTP proxy with routing and landing page",""
"","","ws:// endpoint subscribes to collection mutations","","","passed","","","e11 - Realtime — WebSocket & Event Broadcast","e11s01 - WebSocket subscriptions with mutation event broadcasting",""
"","","go run . version prints version string","","","passed","","","e01 - CLI — BigBase Breathes","e01s01 - CLI binary with version and help commands",""
"","","Inject `fetch(url, options)` into jsRuntime — GET/POST/PUT/DELETE with allowlist and per-request timeout","","","passed","","","e30 - Backend for Bots & Integrations","e30s01 - Functions Runtime — fetch, db, request context, env, schedule",""
"","","Create benchmark for kernel.EventBus Emit/Subscribe with 10k events in tests/bench/bench_eventbus_test.go","","","passed","","","e21 - Testing and Quality Hardening","e21s03 - Performance benchmarks",""
"","","Register list_repos tool — list git repos available for deployment","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s03 - Deploy Workflow Tools — repo listing, deploy trigger, status, logs",""
"","","Per-site usage view","","","skipped","","","e49 - Admin — Usage Dashboard","e49s02 - Usage dashboard UI",""
"","","Workflows execute on git push","","","passed","","","e09 - CI/CD — Pipelines & Workflows","e09s01 - Pipeline/workflow engine with git push triggers",""
"","","Add 'Secrets' tab to SiteDetailPage alongside 'Environment Variables'","","","skipped","","","e47 - Deploy — Secrets Management","e47s02 - Secrets UI in admin panel",""
"","","Add orgs table migration in auth.Start() — CREATE TABLE IF NOT EXISTS orgs (id, name, slug UNIQUE, owner_id, created_at, updated_at); add default_org_id column to users; auto-create personal org on register","","","passed","","","e23 - Multi-Tenancy and Organizations","e23s01 - Organization CRUD",""
"","","Aggregate platform-wide usage metrics","","","skipped","","","e49 - Admin — Usage Dashboard","e49s01 - Usage metrics aggregation backend",""
"","","Dashboard checklist card with progress tracking","","","passed","","","e22 - Developer Experience","e22s01 - Onboarding checklist UI",""
"","","resumeCandidates builds Specs from running rows and calls Supervisor.Run; host guaranteed registered on resume","","","passed","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s04 - Unify boot paths — triggerDeploy and resume both funnel through Supervisor.Run(spec)",""
"","","Serve HTTPS for custom domains with provisioned certs","","","skipped","","","e46 - Infra — Custom Domains & Auto SSL","e46s02 - Auto SSL via Let's Encrypt (ACME)",""
"","","components/deploy/supervisor_fakes_test.go (package deploy) — FakeInstance(waitErr error, stopCh); FakeRunner(queue []*FakeInstance) Spawn pops next; FakeClock(Sleeps []time.Duration); TestFakeRunnerSpawnsScriptedInstances drives [crash,crash,ok] sequence","","","passed","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s01 - Runner/Instance/Spec seam + FakeRunner; existing fleet tests stay green",""
"","","Pass request context (body, headers, query, method) into functions with trigger=http when invoked via POST /api/functions/:id/run","","","passed","","","e30 - Backend for Bots & Integrations","e30s01 - Functions Runtime — fetch, db, request context, env, schedule",""
"","","UI: global Build Cache panel on DeployPage","","","passed","","","e42 - Deploy — Build Cache","e42s02 - Admin UI — cache management",""
"","","Wire the streaming endpoint into the deployment lifecycle — start buffering logs at 'building' state","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s01 - Real-time log streaming — WebSocket endpoint for build logs",""
"","","Structured JSON logging via slog","","","passed","","","e14 - Monitoring — Metrics, Logs, Alerts, Health","e14s01 - Health endpoint, structured logs, metrics dashboard",""
"","","Write tests for git.deleteRepo (0%), git.handlePush (0%)","","","passed","","","e21 - Testing and Quality Hardening","e21s04 - Coverage gates",""
"","","Three sample repos and POST /api/samples/:name/deploy","","","passed","","","e22 - Developer Experience","e22s04 - Sample apps with deploy buttons",""
"","","POST /api/functions/:id/run executes function","","","passed","","","e10 - Functions — Serverless JS Runtime","e10s01 - JavaScript function CRUD and execution via goja",""
"","","Inject secrets into build and runtime environments","","","skipped","","","e47 - Deploy — Secrets Management","e47s01 - Encrypted secrets storage and API",""
"","","Verified test PR #37 receives PR-Agent review with DeepSeek","","","passed","","","e55 - DX — Automated PR Code Review via PR-Agent + DeepSeek","e55s03 - Validate end-to-end: open test PR and confirm review appears",""
"","","Final verification — full preflight green including coverage","","","passed","","","e21 - Testing and Quality Hardening","e21s04 - Coverage gates",""
"","","Step-by-step tutorial on admin UI","","","passed","","","e22 - Developer Experience","e22s05 - Interactive tutorial overlay",""
"","","Auto-deploy previews on git push to non-main branches","","","skipped","","","e51 - Deploy — Preview Environments","e51s01 - Branch-based preview deployments",""
"","","Admin ↔ User view toggle — switch perspective in UI without re-login","","","skipped","","","e52 - Multi-User Platform — Admin panel, role switching, friend invites","e52s03 - Role Switching — enter as admin or user, per-user workspaces",""
"","","Create scripts/health-check.sh that curls /health and validates JSON; verify setup.sh idempotency (run twice)","","","passed","","","e24 - Wire Observability","e24s05 - Idempotent setup scripts",""
"","","API-key path: in ResolveAPIKey flow set the resolved key's org_id into the same JWT-claims/context channel so programmatic access is equally scoped.
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s02 - Wire org-ID into request context (activate dead multi-tenant isolation)",""
"","","Add per-site Content-Security-Policy header generation to the proxy","","","skipped","","","e48 - Proxy — Configurable CSP Headers","e48s01 - CSP header generation with per-site configuration",""
"","","Admin UI: add filter/sort inputs to collection list view","","","passed","","","e30 - Backend for Bots & Integrations","e30s03 - Collections API — filter and sort",""
"","","TransitionState() method — validated transition + DB persistence + lenient mode","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s02 - Deployment state machine — pending -> building -> deploying -> running/failed",""
"","","GET /api/storage/:id/download serves file","","","passed","","","e06 - Storage + Appwrite Look & Feel","e06s01 - File upload/download/delete with MIME detection",""
"","","Wire coverage gate (≥80%) into preflight as npm run preflight:coverage, exclude vendored ui/node_modules","","","passed","","","e21 - Testing and Quality Hardening","e21s04 - Coverage gates",""
"","","POST /api/sites/:id/domains with DNS TXT verification and TLS","","","passed","","","e20 - Platform Operations","e20s04 - Custom domains for Sites",""
"","","CPU/memory charts, disk gauge, network sparkline on MonitoringPage","","","passed","","","e25 - Hardware Monitoring","e25s03 - Monitoring page charts",""
"","","Write tests for proxy.UnregisterDeploymentHost (0%), proxy.Stop (66%)","","","passed","","","e21 - Testing and Quality Hardening","e21s04 - Coverage gates",""
"","","In startApp(), capture cmd.Stdout and cmd.Stderr into ring buffers per site; expose last 200 lines via GET /api/sites/:id/runtime-logs; show in SiteDetailPage under a 'Runtime' sub-tab","","","passed","","","e27 - Site Request Logs","e27s04 - Capture stdout/stderr from running sites",""
"","","GET /api/forge/issues lists with filters","","","passed","","","e08 - Forge — Issues, Labels, Kanban, Wiki","e08s01 - Issue tracker with labels, kanban board, wiki",""
"","","New Relic MCP server config for real-time monitoring queries","","","passed","","","e54 - New Relic Integration — Application and Server Monitoring","e54s04 - VPS Infrastructure Agent + MCP Access",""
"","","Register sends verification email; verify-email endpoint","","","passed","","","e19 - Security Hardening","e19s02 - Email verification flow",""
"","","Fail closed: in auth.Middleware, if claims.OrgID == 0 return 403 {\""error\"":\""no organization\""} (after email-verify check). Existing tokens without org are forced to re-auth.
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s02 - Wire org-ID into request context (activate dead multi-tenant isolation)",""
"","","Add --log-level flag to serve command (debug|info|warn|error) and wire into slog.JSONHandler level","","","passed","","","e24 - Wire Observability","e24s01 - Standardize structured logging",""
"","","git clone via SSH works","","","passed","","","e07 - Git + Commercial Landing Page","e07s01 - Bare git repo management with SSH",""
"","","Collection list and record browser","","","passed","","","e05 - Admin UI — Dashboard","e05s01 - SPA admin dashboard with collection browser",""
"","","Add New Relic infrastructure agent install to VPS setup script","","","passed","","","e54 - New Relic Integration — Application and Server Monitoring","e54s04 - VPS Infrastructure Agent + MCP Access",""
"","","CONVENTIONS.md and AGENTS.md present","","","passed","","","e16 - Developer Onboarding Journey","e16s01 - Onboarding flow: signup → create project → deploy sample",""
"","","Track active connections per deployment instance","","","skipped","","","e45 - Deploy — Zero-Downtime Drain","e45s01 - Graceful connection draining on deployment switchover",""
"","","Auto-cleanup previews on branch delete or merge","","","skipped","","","e51 - Deploy — Preview Environments","e51s02 - Preview lifecycle management",""
"","","CSP Report-URI / Report-To integration","","","skipped","","","e48 - Proxy — Configurable CSP Headers","e48s02 - Admin UI — CSP policy builder",""
"","","When deployment status is 'building', poll GET /api/deployments/:id/logs every 2s and append new lines; stop polling when status transitions to running/failed","","","passed","","","e26 - Site Build Logs UI","e26s02 - Live log streaming during active build",""
"","","Create contract test for /api/deploy GET and POST response shapes","","","passed","","","e21 - Testing and Quality Hardening","e21s02 - API contract tests",""
"","","Add preview deployment creation by branch","","","skipped","","","e51 - Deploy — Preview Environments","e51s01 - Branch-based preview deployments",""
"","","Initialize newrelic.Application in main.go serve command with env var mapping","","","passed","","","e54 - New Relic Integration — Application and Server Monitoring","e54s01 - New Relic Go Agent Initialization",""
"","","Extend /health with per-component status map including name, version, running, deps, hooks for each","","","passed","","","e24 - Wire Observability","e24s03 - Per-component health",""
"","","Restore cache at build start, save at build end","","","passed","","","e42 - Deploy — Build Cache","e42s01 - Cache key derivation and storage",""
"","","components/deploy/state_machine.go — define DeploymentState type + stateMachine with valid transitions","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s02 - Deployment state machine — pending -> building -> deploying -> running/failed",""
"","","First-user bootstrap — first user auto-admin, subsequent users default to user role","","","skipped","","","e52 - Multi-User Platform — Admin panel, role switching, friend invites","e52s03 - Role Switching — enter as admin or user, per-user workspaces",""
"","","Create benchmark for deploy.DetectAppType, deploy.GetStartCommand in tests/bench/bench_deploy_test.go","","","passed","","","e21 - Testing and Quality Hardening","e21s03 - Performance benchmarks",""
"","","Create secrets table with encryption-at-rest","","","skipped","","","e47 - Deploy — Secrets Management","e47s01 - Encrypted secrets storage and API",""
"","","Admin UI — preview environment management","","","skipped","","","e51 - Deploy — Preview Environments","e51s02 - Preview lifecycle management",""
"","","GET /api/orgs/:id/usage with admin UI charts","","","passed","","","e23 - Multi-Tenancy and Organizations","e23s05 - Usage tracking per org",""
"","","Inject newrelic.NewContext into proxy request handler chain","","","passed","","","e54 - New Relic Integration — Application and Server Monitoring","e54s02 - Instrument HTTP Proxy Request Tracing",""
"","","Accept invite page — token validation, register or login, auto-join org","","","skipped","","","e52 - Multi-User Platform — Admin panel, role switching, friend invites","e52s02 - Friend Invitation Flow — email invite, accept, onboard",""
"","","In handleGoogleCallback (~616): read query state and the oauth_state cookie; if cookie missing OR verifyState fails OR decoded state != query state, return 400 {\""error\"":\""invalid state\""} BEFORE calling verifier.Verify.
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s01 - Fix OAuth state CSRF — validate state in Google callback",""
"","","GET /api/monitoring/metrics/stream SSE every 5s","","","passed","","","e25 - Hardware Monitoring","e25s02 - Real-time metrics SSE",""
"","","Table-driven isolation test in api: seed records for org A and org B; assert a ctx with org A's id cannot list/get/update/delete org B's record (list excludes them, get/update/delete return 403/404).
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s02 - Wire org-ID into request context (activate dead multi-tenant isolation)",""
"","","Event bus mutations broadcast to subscribers","","","passed","","","e11 - Realtime — WebSocket & Event Broadcast","e11s01 - WebSocket subscriptions with mutation event broadcasting",""
"","","POST /api/storage/upload accepts multipart file","","","passed","","","e06 - Storage + Appwrite Look & Feel","e06s01 - File upload/download/delete with MIME detection",""
"","","Implement PostgreSQL driver in components/db/postgres.go","","","passed","","","e18 - Multi-DB Support (PostgreSQL)","e18s02 - PostgreSQL driver",""
"","","Register get_deploy_status tool — check deployment status and details","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s03 - Deploy Workflow Tools — repo listing, deploy trigger, status, logs",""
"","","Enhance admin UI status timeline — animations, polling, Live badge","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s02 - Deployment state machine — pending -> building -> deploying -> running/failed",""
"","","Add server instructions — teach the agent how to use the MCP effectively","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s02 - Platform Knowledge Tools — service catalog, docs, code examples",""
"","","triggerDeploy builds a Spec and calls Supervisor.Run for both static and process apps","","","passed","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s04 - Unify boot paths — triggerDeploy and resume both funnel through Supervisor.Run(spec)",""
