"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Add helpers signState(state, secret) and verifyState(value, secret) using hmac/SHA256 over the random state, encoding as ""state.hex(mac)"". Reason for depth: HMAC binds the cookie to the server secret so it can't be forged; two tiny funcs, no new type.
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s01 - Fix OAuth state CSRF — validate state in Google callback",""
"","","Add DEEPSEEK_API_KEY secret to GitHub repo","","","skipped","","","e55 - DX — Automated PR Code Review via PR-Agent + DeepSeek","e55s01 - Add PR-Agent GitHub Action workflow with DeepSeek",""
"","","Structured JSON logging via slog","","","passed","","","e14 - Monitoring — Metrics, Logs, Alerts, Health","e14s01 - Health endpoint, structured logs, metrics dashboard",""
"","","Admin UI: add draining and stopped to DeploymentStatus type","","","passed","","","e45 - Deploy — Zero-Downtime Drain","e45s02 - Proxy integration — smooth traffic migration",""
"","","GET /api/monitoring/metrics/prometheus — manual text format, export bigbase_* counters/gauges","","","passed","","","e24 - Wire Observability","e24s04 - Prometheus metrics export",""
"","","In main.go add a small bridge middleware orgBridge(next) that reads auth.OrgIDFromContext and, when present, wraps ctx with api.WithOrgID; apply it to protectedAPI only (/api/collections/, /api/sql). Reason for depth: the bridge is the one allowed seam between two packages' private context keys.
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s02 - Wire org-ID into request context (activate dead multi-tenant isolation)",""
"","","Write tests for github.handleConnect (0%), github.mirrorRepository (0%)","","","passed","","","e21 - Testing and Quality Hardening","e21s04 - Coverage gates",""
"","","POST /api/scaffold/db, repo, function endpoints","","","passed","","","e22 - Developer Experience","e22s02 - 1-click scaffolding API",""
"","","Header component — brand, project selector, user menu","","","skipped","","","e56 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e56s03 - Layout Components — Header, Sidebar, Navigation",""
"","","CSP, HSTS, X-Frame-Options, X-Content-Type-Options, Referrer-Policy","","","passed","","","e19 - Security Hardening","e19s05 - Security headers middleware",""
"","","Add fuzz target for auth.hashPassword in tests/bench/fuzz_auth_test.go","","","passed","","","e21 - Testing and Quality Hardening","e21s05 - Race detection and fuzz targets",""
"","","Collection list and record browser","","","passed","","","e05 - Admin UI — Dashboard","e05s01 - SPA admin dashboard with collection browser",""
"","","Export design tokens from Evolved v2 spec — colors, spacing, typography, shadows","","","skipped","","","e56 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e56s01 - Design Tokens & Theme System",""
"","","Add 'Secrets' tab to SiteDetailPage alongside 'Environment Variables'","","","skipped","","","e60 - Deploy — Secrets Management","e60s02 - Secrets UI in admin panel",""
"","","Loading skeleton & placeholder components","","","skipped","","","e56 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e56s06 - Extended Component Library — Table, Form Controls, Dialogs",""
"","","Admin UI: add draining/stopped to status timeline","","","passed","","","e45 - Deploy — Zero-Downtime Drain","e45s02 - Proxy integration — smooth traffic migration",""
"","","Create benchmark for deploy.DetectAppType, deploy.GetStartCommand in tests/bench/bench_deploy_test.go","","","passed","","","e21 - Testing and Quality Hardening","e21s03 - Performance benchmarks",""
"","","Per-project JWT signing keys","","","skipped","","","e57 - Architecture — Project Scoping (DB + Auth + Sites container)","e57s03 - Auth namespacing — project-scoped users, JWT keys, and sessions",""
"","","DetectAppType identifies Go/Node/Python/Static","","","passed","","","e13 - Deploy — Build & Run Web Apps","e13s01 - Web app build and deployment from git repos",""
"","","Add project_id column to sites table, backfill existing sites","","","skipped","","","e57 - Architecture — Project Scoping (DB + Auth + Sites container)","e57s04 - Site → Project linkage — backfill, migration, and resource transfer",""
"","","Apply CSP headers to proxied responses for deployment sites","","","skipped","","","e61 - Proxy — Configurable CSP Headers","e61s01 - CSP header generation with per-site configuration",""
"","","Inject secrets into build and runtime environments","","","skipped","","","e60 - Deploy — Secrets Management","e60s01 - Encrypted secrets storage and API",""
"","","GET / renders landing page","","","passed","","","e02 - Proxy + Landing Page","e02s01 - HTTP proxy with routing and landing page",""
"","","Per-site usage metrics","","","skipped","","","e62 - Admin — Usage Dashboard","e62s01 - Usage metrics aggregation backend",""
"","","Button component — variants, sizes, states, icons","","","skipped","","","e56 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e56s02 - Core Component Library — Button, Input, Card, Badge",""
"","","Chart components via Recharts — line, bar, area, pie","","","skipped","","","e56 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e56s07 - Data Visualization & Editor Components — Charts, Code Editor, Terminal",""
"","","Add WebSocket streaming support to useBuildLogs hook","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s03 - Terminal-style live log viewer in admin UI",""
"","","/api/sql endpoint for raw queries","","","passed","","","e03 - DB + Auto API","e03s01 - SQLite-backed auto CRUD collections API",""
"","","Provider interface supports pluggable backends","","","passed","","","e12 - Messaging — Email, SMS, Push","e12s01 - Email/SMS/Push endpoints with provider interface",""
"","","Integrate drain into runDeployment lifecycle","","","passed","","","e45 - Deploy — Zero-Downtime Drain","e45s01 - Graceful connection draining on deployment switchover",""
"","","Admin UI — preview environment management","","","skipped","","","e64 - Deploy — Preview Environments","e64s02 - Preview lifecycle management",""
"","","Create collection_schemas table and API for schema CRUD","","","skipped","","","e63 - Admin — Collection Schema Designer","e63s01 - Schema definition CRUD and storage",""
"","","Set user role — promote/demote between admin and user from admin panel","","","skipped","","","e65 - Multi-User Platform — Admin panel, role switching, friend invites","e65s01 - Admin User Management Dashboard",""
"","","components/webhooks with retry and exponential backoff","","","passed","","","e20 - Platform Operations","e20s05 - Outbound webhook system",""
"","","Write tests for auth.handleGoogleOAuth (30%), auth.handleGoogleCallback (43%)","","","passed","","","e21 - Testing and Quality Hardening","e21s04 - Coverage gates",""
"","","Inline YAML editor with validation and save","","","passed","","","e40 - Deploy — App Manifest (bigbase.yaml)","e40s03 - Admin UI — view and edit bigbase.yaml from site settings",""
"","","Add New Relic infrastructure agent install to VPS setup script","","","skipped","","","e54 - New Relic Integration — Application and Server Monitoring","e54s04 - VPS Infrastructure Agent + MCP Access",""
"","","Three sample repos and POST /api/samples/:name/deploy","","","passed","","","e22 - Developer Experience","e22s04 - Sample apps with deploy buttons",""
"","","Configure PR-Agent with BigBase-specific reviewer instructions, DeepSeek V4 Pro model","","","skipped","","","e55 - DX — Automated PR Code Review via PR-Agent + DeepSeek","e55s02 - Add .pr_agent.toml config tuned for BigBase conventions",""
"","","Explicit Stop(grace) is distinguished from a crash — Supervisor does not respawn after an intentional stop","","","skipped","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s03 - Supervisor restart loop — crash → respawn; crash-loop → failed + de-register + event",""
"","","Add ?filter= operator support: eq (default), gt, gte, lt, lte, ne, like","","","passed","","","e30 - Backend for Bots & Integrations","e30s03 - Collections API — filter and sort",""
"","","Serve HTTPS for custom domains with provisioned certs","","","passed","","","e46 - Infra — Custom Domains & Auto SSL","e46s02 - Auto SSL via Let's Encrypt (ACME)",""
"","","POST /api/auth/register creates user and returns JWT","","","passed","","","e04 - Auth — Register, Login, JWT","e04s01 - Email/password register and login with JWT",""
"","","GitHub Actions matrix for SQLite and PostgreSQL","","","passed","","","e18 - Multi-DB Support (PostgreSQL)","e18s04 - Dual-driver CI matrix",""
"","","Implement stdio transport — local agent use via pipe","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s01 - MCP Server Foundation — stdio + HTTP transport, tools registry",""
"","","Write E2E smoke test — server health check returns 200","","","passed","","","e21 - Testing and Quality Hardening","e21s01 - Playwright E2E suite",""
"","","Register sends verification email; verify-email endpoint","","","passed","","","e19 - Security Hardening","e19s02 - Email verification flow",""
"","","Add 'Environment Variables' tab to SiteDetailPage","","","passed","","","e41 - Deploy — Environment Variables UI","e41s02 - Admin UI — environment variables management page",""
"","","Add 'Logs' tab to SiteDetailPage that fetches GET /api/deployments/:id/logs for the active deployment and renders lines in a terminal-style <pre> block with auto-scroll","","","passed","","","e26 - Site Build Logs UI","e26s01 - Build logs tab on SiteDetailPage",""
"","","Add --log-level flag to serve command (debug|info|warn|error) and wire into slog.JSONHandler level","","","passed","","","e24 - Wire Observability","e24s01 - Standardize structured logging",""
"","","Add fuzz target for deploy.SiteSlug in tests/bench/fuzz_deploy_test.go","","","passed","","","e21 - Testing and Quality Hardening","e21s05 - Race detection and fuzz targets",""
"","","Users table — add project_id foreign key and unique constraint on (project_id, email)","","","skipped","","","e57 - Architecture — Project Scoping (DB + Auth + Sites container)","e57s03 - Auth namespacing — project-scoped users, JWT keys, and sessions",""
"","","Two-zone sidebar — project zone vs global zone","","","skipped","","","e58 - Project Scoping — Admin UI","e58s01 - Admin UI — project-scoped routing, selector, sidebar, dashboard, settings",""
"","","Add a Delete column to the deployments table in SiteDetailPage.tsx. Each row gets a small ""Delete"" Button (variant=""ghost"", size=""sm"") that is disabled (and shows a tooltip ""Build in progress"") when d.status is pending or building. On click, show an inline confirmation row or window.confirm dialog asking ""Delete deployment from [date]? This cannot be undone."" On confirm, call DELETE /api/deployments/{d.id}, then reload the deployments list. Show a brief error message if the request fails.
","","","passed","","","e28 - Delete Deployment","e28s02 - Delete button with confirmation in SiteDetailPage deployments table",""
"","","Ensure SvelteKit SSR start command works via GetStartCommand","","","passed","","","e37 - SvelteKit Deployment — static (adapter-static) & SSR (adapter-node)","e37s01 - SvelteKit static and SSR deployment from git repos",""
"","","Register deploy_guide tool — step-by-step deployment workflow for agents","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s03 - Deploy Workflow Tools — repo listing, deploy trigger, status, logs",""
"","","Add per-site Content-Security-Policy header generation to the proxy","","","skipped","","","e61 - Proxy — Configurable CSP Headers","e61s01 - CSP header generation with per-site configuration",""
"","","GET /api/orgs/:id/usage with admin UI charts","","","passed","","","e23 - Multi-Tenancy and Organizations","e23s05 - Usage tracking per org",""
"","","Field editor with drag-and-drop reordering","","","skipped","","","e63 - Admin — Collection Schema Designer","e63s02 - Visual schema editor in admin UI",""
"","","Token-bucket rate limiter per IP and per user","","","passed","","","e19 - Security Hardening","e19s01 - Rate limiting middleware",""
"","","Schedule loop: execute functions with trigger=schedule according to their schedule field (cron syntax via robfig/cron)","","","passed","","","e30 - Backend for Bots & Integrations","e30s01 - Functions Runtime — fetch, db, request context, env, schedule",""
"","","POST /api/functions creates JS function","","","passed","","","e10 - Functions — Serverless JS Runtime","e10s01 - JavaScript function CRUD and execution via goja",""
"","","Extract shared DBer interface into kernel/dber.go","","","passed","","","e18 - Multi-DB Support (PostgreSQL)","e18s01 - Extract shared DBer interface",""
"","","Workflows execute on git push","","","passed","","","e09 - CI/CD — Pipelines & Workflows","e09s01 - Pipeline/workflow engine with git push triggers",""
"","","ConfirmDialog component — confirmation pattern for destructive actions","","","skipped","","","e56 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e56s06 - Extended Component Library — Table, Form Controls, Dialogs",""
"","","Backend: cache management methods + HTTP endpoints in deploy component","","","passed","","","e42 - Deploy — Build Cache","e42s02 - Admin UI — cache management",""
"","","POST /api/messaging/email sends email","","","passed","","","e12 - Messaging — Email, SMS, Push","e12s01 - Email/SMS/Push endpoints with provider interface",""
