"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Audit log for secret access and changes","","","skipped","","","e51 - Deploy — Secrets Management","e51s02 - Secrets UI in admin panel",""
"","","Implement HTTP/SSE transport — hosted at mcp.bigbase.click","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s01 - MCP Server Foundation — stdio + HTTP transport, tools registry",""
"","","Add 'Manifest' tab to SiteDetailPage showing current bigbase.yaml content","","","passed","","","e40 - Deploy — App Manifest (bigbase.yaml)","e40s03 - Admin UI — view and edit bigbase.yaml from site settings",""
"","","Define bigbase.yaml schema with fields for build_command, start_command, port, env, framework, publish_dir","","","passed","","","e40 - Deploy — App Manifest (bigbase.yaml)","e40s01 - Manifest parsing — detect bigbase.yaml in repo root, extract config",""
"","","Header component — brand, project selector, user menu","","","skipped","","","e47 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e47s03 - Layout Components — Header, Sidebar, Navigation",""
"","","Add --db-driver and --db-dsn flags; db.New selects driver","","","passed","","","e18 - Multi-DB Support (PostgreSQL)","e18s03 - Config-based driver selection",""
"","","Card component — container, header, footer, interactive","","","skipped","","","e47 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e47s02 - Core Component Library — Button, Input, Card, Badge",""
"","","triggerDeploy builds a Spec and calls Supervisor.Run for both static and process apps","","","passed","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s04 - Unify boot paths — triggerDeploy and resume both funnel through Supervisor.Run(spec)",""
"","","Project context middleware — inject project_id into request context","","","skipped","","","e48 - Architecture — Project Scoping (DB + Auth + Sites container)","e48s01 - Projects table — backend CRUD + context resolution",""
"","","Admin UI: add draining and stopped to DeploymentStatus type","","","passed","","","e45 - Deploy — Zero-Downtime Drain","e45s02 - Proxy integration — smooth traffic migration",""
"","","Backend: POST /api/projects/:projectId/sql — execute parameterized SQL","","","skipped","","","e50 - Native Feature Port — SQL-over-HTTP, Better Auth, MCP Migration Tools","e50s01 - @bigbase/sql — HTTP SQL transport with tagged template literals",""
"","","Implement stdio transport — local agent use via pipe","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s01 - MCP Server Foundation — stdio + HTTP transport, tools registry",""
"","","User workspace — scoped repos and deployments per user/org","","","skipped","","","e59 - Multi-User Platform — Admin panel, role switching, friend invites","e59s03 - Role Switching — enter as admin or user, per-user workspaces",""
"","","Serve old build artifacts on rollback (no rebuild)","","","passed","","","e44 - Deploy — One-Click Rollback","e44s01 - Backend — rollback to previous successful deployment",""
"","","Wire E2E into preflight as optional lane (npm run test:e2e)","","","passed","","","e21 - Testing and Quality Hardening","e21s01 - Playwright E2E suite",""
"","","Integration: callback with valid code but no/wrong state cookie returns 400 and sets NO token cookie (use existing googleVerifier stub pattern).
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s01 - Fix OAuth state CSRF — validate state in Google callback",""
"","","Users table — add project_id foreign key and unique constraint on (project_id, email)","","","skipped","","","e48 - Architecture — Project Scoping (DB + Auth + Sites container)","e48s03 - Auth namespacing — project-scoped users, JWT keys, and sessions",""
"","","Storybook setup for token preview + theme switcher","","","skipped","","","e47 - UI Refactor — Console Redesign & Component Library (Evolved v2)","e47s01 - Design Tokens & Theme System",""
"","","Explicit Stop(grace) is distinguished from a crash — Supervisor does not respawn after an intentional stop","","","passed","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s03 - Supervisor restart loop — crash → respawn; crash-loop → failed + de-register + event",""
"","","URL restructure — /project/:projectId/... with backward compat","","","skipped","","","e49 - Project Scoping — Admin UI","e49s01 - Admin UI — project-scoped routing, selector, sidebar, dashboard, settings",""
"","","X-Request-ID middleware in proxy: generate via crypto/rand hex, store in context, log as field","","","passed","","","e24 - Wire Observability","e24s02 - Distributed request ID",""
"","","Deprecate old BuildLogs — remove export, clean up index","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s03 - Terminal-style live log viewer in admin UI",""
"","","Confirm go test -race passes for entire project","","","passed","","","e21 - Testing and Quality Hardening","e21s05 - Race detection and fuzz targets",""
"","","Client SDK: @bigbase/auth v2 with Better Auth compatibility","","","skipped","","","e50 - Native Feature Port — SQL-over-HTTP, Better Auth, MCP Migration Tools","e50s03 - Better Auth backend engine — adapter for BigBase auth endpoints",""
"","","Rollback history timeline on site detail page","","","passed","","","e44 - Deploy — One-Click Rollback","e44s02 - Admin UI — rollback button and history",""
"","","Emit deploy.state_changed events on kernel event bus","","","passed","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s02 - Deployment state machine — pending -> building -> deploying -> running/failed",""
"","","On the success path, clear the oauth_state cookie (MaxAge=-1) right before setting the token cookie.
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s01 - Fix OAuth state CSRF — validate state in Google callback",""
"","","Regression guard — existing dist/ detection still works","","","passed","","","e37 - SvelteKit Deployment — static (adapter-static) & SSR (adapter-node)","e37s01 - SvelteKit static and SSR deployment from git repos",""
"","","Collection list and record browser","","","passed","","","e05 - Admin UI — Dashboard","e05s01 - SPA admin dashboard with collection browser",""
