"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Add fuzz target for auth.hashPassword in tests/bench/fuzz_auth_test.go","","","passed","","","e21 - Testing and Quality Hardening","e21s05 - Race detection and fuzz targets",""
"","","Enhance StreamLog component with terminal toolbar and ANSI colors","","","skipped","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s03 - Terminal-style live log viewer in admin UI",""
"","","GET /api/monitoring/events SSE and","","","passed","","","e22 - Developer Experience","e22s03 - Event Bus visualizer",""
"","","Write E2E login flow test — register user, login, verify JWT cookie","","","passed","","","e21 - Testing and Quality Hardening","e21s01 - Playwright E2E suite",""
"","","Structured JSON logging via slog","","","passed","","","e14 - Monitoring — Metrics, Logs, Alerts, Health","e14s01 - Health endpoint, structured logs, metrics dashboard",""
"","","isCrashLooping(history, now) — N=5 restarts within window T=60s → true; named constants exposed as flags (no magic numbers)","","","passed","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s02 - Restart policy — pure nextBackoff + isCrashLooping (clock-injected)",""
"","","GET /api/monitoring/metrics/prometheus — manual text format, export bigbase_* counters/gauges","","","passed","","","e24 - Wire Observability","e24s04 - Prometheus metrics export",""
"","","nextBackoff(attempt) = jitter(min(cap, base*factor^attempt)); base 1s, factor 2, cap 60s; full jitter","","","passed","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s02 - Restart policy — pure nextBackoff + isCrashLooping (clock-injected)",""
"","","Add POST /api/sites/:id/rollback endpoint","","","skipped","","","e44 - Deploy — One-Click Rollback","e44s01 - Backend — rollback to previous successful deployment",""
"","","Aggregate platform-wide usage metrics","","","skipped","","","e49 - Admin — Usage Dashboard","e49s01 - Usage metrics aggregation backend",""
"","","Register list_services tool — return catalog of BigBase services with capabilities and status","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s02 - Platform Knowledge Tools — service catalog, docs, code examples",""
"","","Integrate health check into state machine — passes before transitioning to 'live'","","","skipped","","","e43 - Deploy — Semantic Health Check","e43s01 - Configurable health check endpoint probing",""
"","","CSP, HSTS, X-Frame-Options, X-Content-Type-Options, Referrer-Policy","","","passed","","","e19 - Security Hardening","e19s05 - Security headers middleware",""
"","","Supervisor.supervise: Spawn → register host → Wait → backoff → re-Spawn, driven by FakeRunner + FakeClock","","","passed","","","e53 - Deploy — Process Supervisor (Runner/Instance seam)","e53s03 - Supervisor restart loop — crash → respawn; crash-loop → failed + de-register + event",""
"","","Deprecate old BuildLogs — remove export, clean up index","","","skipped","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s03 - Terminal-style live log viewer in admin UI",""
"","","Write tests for proxy.UnregisterDeploymentHost (0%), proxy.Stop (66%)","","","passed","","","e21 - Testing and Quality Hardening","e21s04 - Coverage gates",""
"","","Add 'Usage' page to admin dashboard","","","skipped","","","e49 - Admin — Usage Dashboard","e49s02 - Usage dashboard UI",""
"","","SSL certificate status dashboard","","","skipped","","","e46 - Infra — Custom Domains & Auto SSL","e46s03 - Admin UI — custom domain management",""
"","","Emit deploy.state_changed events on kernel event bus","","","skipped","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s02 - Deployment state machine — pending -> building -> deploying -> running/failed",""
"","","GET /api/sites/:id/logs — return paginated request logs for a site with optional filters: status (2xx/4xx/5xx), path prefix, date range, limit (default 100, max 500)","","","passed","","","e27 - Site Request Logs","e27s02 - Request logs API endpoint",""
"","","Add 'Security Headers' section to site settings","","","skipped","","","e48 - Proxy — Configurable CSP Headers","e48s02 - Admin UI — CSP policy builder",""
"","","ws:// endpoint subscribes to collection mutations","","","passed","","","e11 - Realtime — WebSocket & Event Broadcast","e11s01 - WebSocket subscriptions with mutation event broadcasting",""
