"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Add a Delete column to the deployments table in SiteDetailPage.tsx. Each row gets a small ""Delete"" Button (variant=""ghost"", size=""sm"") that is disabled (and shows a tooltip ""Build in progress"") when d.status is 'pending' or 'building'. On click, show an inline confirmation row or window.confirm dialog asking ""Delete deployment from [date]? This cannot be undone."" On confirm, call DELETE /api/deployments/{d.id}, then reload the deployments list. Show a brief error message if the request fails.
","","","passed","","","e28 - Delete Deployment","e28s02 - Delete button with confirmation in SiteDetailPage deployments table",""
"","","Create site_env_vars table and CRUD API","","","skipped","","","e41 - Deploy — Environment Variables UI","e41s01 - Backend CRUD for site-scoped environment variables",""
"","","Integration: callback with valid code but no/wrong state cookie returns 400 and sets NO token cookie (use existing googleVerifier stub pattern).
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s01 - Fix OAuth state CSRF — validate state in Google callback",""
"","","Admin overview widget — total users, active this week, pending invites, deployments total","","","skipped","","","e52 - Multi-User Platform — Admin panel, role switching, friend invites","e52s01 - Admin User Management Dashboard",""
"","","First-user bootstrap — first user auto-admin, subsequent users default to user role","","","skipped","","","e52 - Multi-User Platform — Admin panel, role switching, friend invites","e52s03 - Role Switching — enter as admin or user, per-user workspaces",""
"","","POST /api/auth/refresh with rotation and replay prevention","","","passed","","","e19 - Security Hardening","e19s04 - Refresh token rotation",""
"","","Create site_request_logs table in SQLite; write one row per proxied HTTP request with site_id, method, path, status, duration_ms, timestamp; auto-prune rows older than 7 days","","","passed","","","e27 - Site Request Logs","e27s01 - Request log schema and storage",""
"","","Structured JSON logging via slog","","","passed","","","e14 - Monitoring — Metrics, Logs, Alerts, Health","e14s01 - Health endpoint, structured logs, metrics dashboard",""
"","","Enhance StreamLog component with terminal toolbar and ANSI colors","","","skipped","","","e39 - Deploy — Streaming Build Logs & State Machine","e39s03 - Terminal-style live log viewer in admin UI",""
"","","Expose api role access: read role via a shared context. Add auth.RequireAdmin(next) middleware that 403s when UserRoleFromContext != admin; apply it to the /api/sql route in main.go. Reason for depth: reusable admin gate, mirrors existing handleUserByID role check.
","","","passed","","","e29 - Security Vulnerability Fixes (2026-06 audit)","e29s03 - Restrict /api/sql to admin and scope to caller's org",""
"","","Add server instructions — teach the agent how to use the MCP effectively","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s02 - Platform Knowledge Tools — service catalog, docs, code examples",""
"","","CPU/memory charts, disk gauge, network sparkline on MonitoringPage","","","passed","","","e25 - Hardware Monitoring","e25s03 - Monitoring page charts",""
"","","GET /api/storage/:id/download serves file","","","passed","","","e06 - Storage + Appwrite Look & Feel","e06s01 - File upload/download/delete with MIME detection",""
"","","Accept invite page — token validation, register or login, auto-join org","","","skipped","","","e52 - Multi-User Platform — Admin panel, role switching, friend invites","e52s02 - Friend Invitation Flow — email invite, accept, onboard",""
"","","Register list_frameworks tool — frameworks BigBase supports with maturity level","","","passed","","","e38 - MCP Server — Agent-Native Platform Education","e38s02 - Platform Knowledge Tools — service catalog, docs, code examples",""
"","","Create secrets table with encryption-at-rest","","","skipped","","","e47 - Deploy — Secrets Management","e47s01 - Encrypted secrets storage and API",""
"","","Admin UI — preview environment management","","","skipped","","","e51 - Deploy — Preview Environments","e51s02 - Preview lifecycle management",""
"","","components/webhooks with retry and exponential backoff","","","passed","","","e20 - Platform Operations","e20s05 - Outbound webhook system",""
